Country,Region,City,Type,North_Traffic (m),East_Traffic (m),West_Traffic (m),South_Traffic (m),North_Time(s),East_Time(s),West_Time(s),South_Time(s)
India,Viman Nagar,Pune,4-way,9,76,138,10,21,60,75,22
India,Aundh,Pune,4-way,1153,267,60,64,105,105,54,56
India,Magarpatta City,Pune,4-way,117,69,9,1,72,58,21,11
India,New Kalyani Nagar,Pune,4-way,12,62,32,878,24,55,43,105
India,LBS Marg Junction,Mumbai,4-way,549,8,41,254,105,20,46,105
India,Gandhi Nagar Junction,Mumbai,4-way,87,20,11,857,65,34,23,105
India,Jolly Marg Junction,Mumbai,4-way,62,10,18,0,55,22,32,10
India,Nikolsawadi Circle,Mumbai,4-way,90,75,1010,31,66,60,105,42
India,MIDC A Cross Road,Mumbai,4-way,479,1121,18,68,105,105,32,57
India,N S Phadke Marg,Mumbai,4-way,18,14,32,26,32,27,43,40
India,Gokhale Bridge,Delhi,4-way,824,39,4,10,105,46,15,22
India,DND Flyway,Delhi,4-way,28,15,647,23,41,28,105,38
India,Maharani Bagh,Delhi,4-way,20,8,635,981,34,20,105,105
India,Burari Road,Delhi,4-way,12,72,55,90,24,59,52,66
India,Khyber Pass Crossing,Delhi,4-way,15,629,149,0,28,105,77,10
India,Nigam Bodh Ghat,Delhi,4-way,84,59,97,188,64,54,69,82
India,P.S. Timarpur,Delhi,4-way,32,21,87,35,43,35,65,44
India,Mall Road,Delhi,4-way,14,189,860,66,27,82,105,56
India,Chennai Bypass Road,Chennai,4-way,46,8,17,43,48,20,30,47
India,Bangalore Chennai Expressway,Chennai,4-way,0,11,99,14,10,23,70,27
India,Anna Salai,Chennai,4-way,102,164,72,68,70,79,59,57
India,EVR Periyar Salai,Chennai,4-way,653,15,242,7,105,28,89,18
India,Arukilpadi road,Chennai,4-way,4,32,128,116,15,43,74,72
India,Thakkolam,Chennai,4-way,199,124,25,10,83,73,40,22
India,Golden Quadrilateral,Chennai,4-way,100,141,18,7,70,75,32,18
India,Chowringhee Road,Kolkata,4-way,51,97,48,518,50,69,49,105
India,Hazra Road,Kolkata,4-way,5,81,2,158,16,62,12,78
India,Park Street,Kolkata,4-way,0,80,78,817,10,62,61,105
India,Hazra Road,Kolkata,4-way,99,91,20,1140,70,66,34,105
India,College Street,Kolkata,4-way,720,13,30,112,105,26,42,72
India,Jaddu Mullick Street,Kolkata,4-way,13,11,7,82,26,23,18,63
India,Raja SC Mullick Road,Kolkata,4-way,1066,55,178,1091,105,52,80,105
India,Burdwan Road,Kolkata,4-way,0,18,167,76,10,32,79,60
India,Burdwan Road,Kolkata,4-way,89,16,68,61,66,29,57,54
India,Eastern Metropolitan Bypass,Kolkata,4-way,12,17,43,918,24,30,47,105
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,32,2,5,131,43,12,16,74
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,17,106,14,156,30,71,27,77
India,Mahatma Gandhi Marg,Indore,4-way,913,43,143,0,105,47,76,10
India,A.B. Road,Indore,4-way,65,392,875,1080,56,105,105,105
India,Dewas Road,Indore,4-way,36,149,63,19,44,77,55,33
India,Ujjain Road,Indore,4-way,96,35,26,10,68,44,40,22
India,Dhar Road,Indore,4-way,570,0,88,17,105,10,65,30
India,Pithampur Road,Indore,4-way,92,51,27,11,67,50,41,23
India,Khandwa Road,Indore,4-way,123,989,119,0,73,105,73,10
India,Nemawar Road,Indore,4-way,61,0,34,9,54,10,44,21
India,Sarafa Bazaar,Indore,4-way,770,968,190,969,105,105,82,105
India,Chappan Dukan,Indore,4-way,2,147,12,306,12,76,24,105
India,Olpad-Rander Road,Surat,4-way,5,811,2,42,16,105,12,47
India,Hazira-Adajan Road,Surat,4-way,20,19,18,1143,34,33,32,105
India,Sachin-Udhna Road,Surat,4-way,15,7,218,49,28,18,86,50
India,Dumas-Athwa Road,Surat,4-way,152,55,17,93,77,52,30,67
India,Kamrej-Varachha Road,Surat,4-way,120,195,12,157,73,83,24,78
India,Kadodara-Sahara Road,Surat,4-way,5,152,754,69,16,77,105,58
India,National Highway 6 (NH6),Surat,4-way,8,18,15,95,20,32,28,68
India,National Highway 8 (NH8),Surat,4-way,3,493,48,170,14,105,49,79
India,Outer Ring Road,Surat,4-way,29,48,122,20,42,49,73,34
India,Surat-Chennai Expressway,Surat,4-way,9,601,211,16,21,105,85,29
India,J.M. Road,Pune,4-way,38,155,359,14,45,77,105,27
India,Fergusson College Road (FC Road),Pune,4-way,268,113,665,4,105,72,105,15
India,Laxmi Road,Pune,4-way,281,21,97,17,105,35,69,30
India,Shivaji Nagar,Pune,4-way,87,124,451,192,65,73,105,82
India,Koregaon Park,Pune,4-way,10,6,96,0,22,17,68,10
India,Kothrud,Pune,4-way,98,1000,95,54,69,105,68,52
India,Viman Nagar,Pune,4-way,14,84,14,5,27,64,27,16
India,Aundh,Pune,4-way,46,189,92,75,48,82,67,60
India,Magarpatta City,Pune,4-way,9,442,210,8,21,105,85,20
India,New Kalyani Nagar,Pune,4-way,209,54,1096,147,85,52,105,76
India,LBS Marg Junction,Mumbai,4-way,356,20,68,14,105,34,57,27
India,Gandhi Nagar Junction,Mumbai,4-way,36,45,14,8,44,48,27,20
India,Jolly Marg Junction,Mumbai,4-way,0,946,779,90,10,105,105,66
India,Nikolsawadi Circle,Mumbai,4-way,22,167,30,5,36,79,42,16
India,MIDC A Cross Road,Mumbai,4-way,745,811,54,86,105,105,52,64
India,N S Phadke Marg,Mumbai,4-way,292,158,16,863,105,78,29,105
India,Gokhale Bridge,Delhi,4-way,178,26,17,351,80,40,30,105
India,DND Flyway,Delhi,4-way,16,18,45,182,29,32,48,81
India,Maharani Bagh,Delhi,4-way,13,78,900,20,26,61,105,34
India,Burari Road,Delhi,4-way,2,53,44,55,12,51,48,52
India,Khyber Pass Crossing,Delhi,4-way,18,14,118,721,32,27,72,105
India,Nigam Bodh Ghat,Delhi,4-way,177,111,61,4,80,71,54,15
India,P.S. Timarpur,Delhi,4-way,1074,0,432,13,105,10,105,26
India,Mall Road,Delhi,4-way,976,981,7,113,105,105,18,72
India,Chennai Bypass Road,Chennai,4-way,909,42,25,38,105,47,40,45
India,Bangalore Chennai Expressway,Chennai,4-way,46,595,12,39,48,105,24,46
India,Anna Salai,Chennai,4-way,297,88,34,346,105,65,44,105
India,EVR Periyar Salai,Chennai,4-way,14,134,0,16,27,75,10,29
India,Arukilpadi road,Chennai,4-way,36,27,650,1196,44,41,105,105
India,Thakkolam,Chennai,4-way,1034,350,91,81,105,105,66,62
India,Golden Quadrilateral,Chennai,4-way,18,103,18,75,32,70,32,60
India,Chowringhee Road,Kolkata,4-way,20,108,8,53,34,71,20,51
India,Hazra Road,Kolkata,4-way,111,13,196,12,71,26,83,24
India,Park Street,Kolkata,4-way,33,76,15,0,43,60,28,10
India,Hazra Road,Kolkata,4-way,168,106,11,31,79,71,23,42
India,College Street,Kolkata,4-way,277,67,21,871,105,57,35,105
India,Jaddu Mullick Street,Kolkata,4-way,29,110,64,746,42,71,56,105
India,Raja SC Mullick Road,Kolkata,4-way,11,5,20,118,23,16,34,72
India,Burdwan Road,Kolkata,4-way,954,11,41,4,105,23,46,15
India,Burdwan Road,Kolkata,4-way,57,18,100,8,53,32,70,20
India,Eastern Metropolitan Bypass,Kolkata,4-way,4,695,117,117,15,105,72,72
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,19,68,14,135,33,57,27,75
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,106,162,109,18,71,78,71,32
India,Mahatma Gandhi Marg,Indore,4-way,4,35,47,81,15,44,49,62
India,A.B. Road,Indore,4-way,0,108,15,403,10,71,28,105
India,Dewas Road,Indore,4-way,185,26,266,80,81,40,105,62
India,Ujjain Road,Indore,4-way,193,28,13,72,82,41,26,59
India,Dhar Road,Indore,4-way,108,198,1,57,71,83,11,53
India,Pithampur Road,Indore,4-way,4,19,37,58,15,33,45,53
India,Khandwa Road,Indore,4-way,2,29,158,165,12,42,78,79
India,Nemawar Road,Indore,4-way,1,86,26,86,11,64,40,64
India,Sarafa Bazaar,Indore,4-way,30,198,53,148,42,83,51,76
India,Chappan Dukan,Indore,4-way,438,20,15,15,105,34,28,28
India,Olpad-Rander Road,Surat,4-way,16,158,177,82,29,78,80,63
India,Hazira-Adajan Road,Surat,4-way,13,87,43,324,26,65,47,105
India,Sachin-Udhna Road,Surat,4-way,81,81,76,6,62,62,60,17
India,Dumas-Athwa Road,Surat,4-way,20,104,36,59,34,71,44,54
India,Kamrej-Varachha Road,Surat,4-way,926,52,0,1,105,51,10,11
India,Kadodara-Sahara Road,Surat,4-way,58,384,67,72,53,105,57,59
India,National Highway 6 (NH6),Surat,4-way,166,135,0,34,79,75,10,44
India,National Highway 8 (NH8),Surat,4-way,5,99,76,55,16,70,60,52
India,Outer Ring Road,Surat,4-way,593,97,137,32,105,69,75,43
India,Surat-Chennai Expressway,Surat,4-way,193,153,44,18,82,77,48,32
India,J.M. Road,Pune,4-way,10,167,57,26,22,79,53,40
India,Fergusson College Road (FC Road),Pune,4-way,679,609,155,192,105,105,77,82
India,Laxmi Road,Pune,4-way,90,183,83,8,66,81,63,20
India,Shivaji Nagar,Pune,4-way,777,423,54,41,105,105,52,46
India,Koregaon Park,Pune,4-way,77,353,723,59,61,105,105,54
India,Kothrud,Pune,4-way,57,89,81,18,53,66,62,32
India,Viman Nagar,Pune,4-way,15,22,145,18,28,36,76,32
India,Aundh,Pune,4-way,88,87,157,126,65,65,78,73
India,Magarpatta City,Pune,4-way,756,10,26,25,105,22,40,40
India,New Kalyani Nagar,Pune,4-way,15,247,17,752,28,90,30,105
India,LBS Marg Junction,Mumbai,4-way,181,316,113,15,81,105,72,28
India,Gandhi Nagar Junction,Mumbai,4-way,29,2,8,18,42,12,20,32
India,Jolly Marg Junction,Mumbai,4-way,20,1137,165,58,34,105,79,53
India,Nikolsawadi Circle,Mumbai,4-way,117,79,329,48,72,62,105,49
India,MIDC A Cross Road,Mumbai,4-way,0,166,16,170,10,79,29,79
India,N S Phadke Marg,Mumbai,4-way,90,470,13,6,66,105,26,17
India,Gokhale Bridge,Delhi,4-way,123,29,876,163,73,42,105,78
India,DND Flyway,Delhi,4-way,28,3,17,47,41,14,30,49
India,Maharani Bagh,Delhi,4-way,172,19,32,18,80,33,43,32
India,Burari Road,Delhi,4-way,74,14,1177,59,60,27,105,54
India,Khyber Pass Crossing,Delhi,4-way,11,136,22,881,23,75,36,105
India,Nigam Bodh Ghat,Delhi,4-way,13,33,100,118,26,43,70,72
India,P.S. Timarpur,Delhi,4-way,56,8,2,10,52,20,12,22
India,Mall Road,Delhi,4-way,14,113,135,157,27,72,75,78
India,Chennai Bypass Road,Chennai,4-way,108,53,93,845,71,51,67,105
India,Bangalore Chennai Expressway,Chennai,4-way,30,157,221,152,42,78,86,77
India,Anna Salai,Chennai,4-way,12,37,960,25,24,45,105,40
India,EVR Periyar Salai,Chennai,4-way,133,81,783,58,74,62,105,53
India,Arukilpadi road,Chennai,4-way,192,8,81,116,82,20,62,72
India,Thakkolam,Chennai,4-way,215,761,32,14,85,105,43,27
India,Golden Quadrilateral,Chennai,4-way,18,283,11,38,32,105,23,45
India,Chowringhee Road,Kolkata,4-way,198,156,8,87,83,77,20,65
India,Hazra Road,Kolkata,4-way,17,869,15,117,30,105,28,72
India,Park Street,Kolkata,4-way,162,193,19,20,78,82,33,34
India,Hazra Road,Kolkata,4-way,114,18,105,12,72,32,71,24
India,College Street,Kolkata,4-way,32,61,25,19,43,54,40,33
India,Jaddu Mullick Street,Kolkata,4-way,395,16,578,16,105,29,105,29
India,Raja SC Mullick Road,Kolkata,4-way,199,6,4,158,83,17,15,78
India,Burdwan Road,Kolkata,4-way,14,26,18,39,27,40,32,46
India,Burdwan Road,Kolkata,4-way,69,573,92,151,58,105,67,77
India,Eastern Metropolitan Bypass,Kolkata,4-way,157,82,13,826,78,63,26,105
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,139,0,186,78,75,10,81,61
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,20,121,12,580,34,73,24,105
India,Mahatma Gandhi Marg,Indore,4-way,930,59,128,90,105,54,74,66
India,A.B. Road,Indore,4-way,181,121,28,637,81,73,41,105
India,Dewas Road,Indore,4-way,35,159,10,850,44,78,22,105
India,Ujjain Road,Indore,4-way,569,5,46,171,105,16,48,79
India,Dhar Road,Indore,4-way,709,9,152,76,105,21,77,60
India,Pithampur Road,Indore,4-way,31,137,183,29,42,75,81,42
India,Khandwa Road,Indore,4-way,13,0,87,502,26,10,65,105
India,Nemawar Road,Indore,4-way,62,0,53,196,55,10,51,83
India,Sarafa Bazaar,Indore,4-way,41,25,109,719,46,40,71,105
India,Chappan Dukan,Indore,4-way,59,30,18,11,54,42,32,23
India,Olpad-Rander Road,Surat,4-way,19,94,1061,39,33,68,105,46
India,Hazira-Adajan Road,Surat,4-way,40,93,13,8,46,67,26,20
India,Sachin-Udhna Road,Surat,4-way,142,16,11,650,76,29,23,105
India,Dumas-Athwa Road,Surat,4-way,663,12,184,36,105,24,81,44
India,Kamrej-Varachha Road,Surat,4-way,0,0,8,96,10,10,20,68
India,Kadodara-Sahara Road,Surat,4-way,161,6,17,135,78,17,30,75
India,National Highway 6 (NH6),Surat,4-way,1189,86,127,60,105,64,74,54
India,National Highway 8 (NH8),Surat,4-way,40,1142,5,66,46,105,16,56
India,Outer Ring Road,Surat,4-way,414,4,18,14,105,15,32,27
India,Surat-Chennai Expressway,Surat,4-way,5,717,71,3,16,105,58,14
India,J.M. Road,Pune,4-way,1034,302,7,77,105,105,18,61
India,Fergusson College Road (FC Road),Pune,4-way,4,446,20,164,15,105,34,79
India,Laxmi Road,Pune,4-way,37,155,453,25,45,77,105,40
India,Shivaji Nagar,Pune,4-way,13,73,12,370,26,59,24,105
India,Koregaon Park,Pune,4-way,222,49,66,0,86,50,56,10
India,Kothrud,Pune,4-way,4,180,12,17,15,81,24,30
India,Viman Nagar,Pune,4-way,95,0,189,138,68,10,82,75
India,Aundh,Pune,4-way,6,162,57,191,17,78,53,82
India,Magarpatta City,Pune,4-way,12,1177,0,101,24,105,10,70
India,New Kalyani Nagar,Pune,4-way,50,56,356,146,50,52,105,76
India,LBS Marg Junction,Mumbai,4-way,38,0,1176,165,45,10,105,79
India,Gandhi Nagar Junction,Mumbai,4-way,27,1,1,0,41,11,11,10
India,Jolly Marg Junction,Mumbai,4-way,15,44,118,183,28,48,72,81
India,Nikolsawadi Circle,Mumbai,4-way,11,113,154,166,23,72,77,79
India,MIDC A Cross Road,Mumbai,4-way,6,67,137,51,17,57,75,50
India,N S Phadke Marg,Mumbai,4-way,1007,9,721,12,105,21,105,24
India,Gokhale Bridge,Delhi,4-way,85,44,1176,87,64,48,105,65
India,DND Flyway,Delhi,4-way,0,10,27,144,10,22,41,76
India,Maharani Bagh,Delhi,4-way,9,161,9,92,21,78,21,67
India,Burari Road,Delhi,4-way,1,9,92,126,11,21,67,73
India,Khyber Pass Crossing,Delhi,4-way,6,0,38,7,17,10,45,18
India,Nigam Bodh Ghat,Delhi,4-way,11,19,386,93,23,33,105,67
India,P.S. Timarpur,Delhi,4-way,12,530,1,700,24,105,11,105
India,Mall Road,Delhi,4-way,834,51,2,1057,105,50,12,105
India,Chennai Bypass Road,Chennai,4-way,474,341,981,50,105,105,105,50
India,Bangalore Chennai Expressway,Chennai,4-way,0,573,61,1022,10,105,54,105
India,Anna Salai,Chennai,4-way,199,132,157,23,83,74,78,38
India,EVR Periyar Salai,Chennai,4-way,12,868,111,80,24,105,71,62
India,Arukilpadi road,Chennai,4-way,19,893,525,18,33,105,105,32
India,Thakkolam,Chennai,4-way,16,136,193,12,29,75,82,24
India,Golden Quadrilateral,Chennai,4-way,14,30,630,253,27,42,105,105
India,Chowringhee Road,Kolkata,4-way,962,570,9,89,105,105,21,66
India,Hazra Road,Kolkata,4-way,0,681,132,76,10,105,74,60
India,Park Street,Kolkata,4-way,21,826,97,6,35,105,69,17
India,Hazra Road,Kolkata,4-way,10,259,106,899,22,105,71,105
India,College Street,Kolkata,4-way,851,35,13,28,105,44,26,41
India,Jaddu Mullick Street,Kolkata,4-way,124,18,770,398,73,32,105,105
India,Raja SC Mullick Road,Kolkata,4-way,925,72,573,79,105,59,105,62
India,Burdwan Road,Kolkata,4-way,257,18,186,12,105,32,81,24
India,Burdwan Road,Kolkata,4-way,878,82,83,33,105,63,63,43
India,Eastern Metropolitan Bypass,Kolkata,4-way,101,17,68,16,70,30,57,29
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,63,761,448,12,55,105,105,24
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,0,14,712,53,10,27,105,51
India,Mahatma Gandhi Marg,Indore,4-way,6,75,860,0,17,60,105,10
India,A.B. Road,Indore,4-way,64,119,10,1106,56,73,22,105
India,Dewas Road,Indore,4-way,16,345,80,11,29,105,62,23
India,Ujjain Road,Indore,4-way,25,42,92,647,40,47,67,105
India,Dhar Road,Indore,4-way,190,3,185,63,82,14,81,55
India,Pithampur Road,Indore,4-way,153,916,971,4,77,105,105,15
India,Khandwa Road,Indore,4-way,97,129,19,43,69,74,33,47
India,Nemawar Road,Indore,4-way,123,99,8,607,73,70,20,105
India,Sarafa Bazaar,Indore,4-way,2,60,16,84,12,54,29,64
India,Chappan Dukan,Indore,4-way,116,888,97,77,72,105,69,61
India,Olpad-Rander Road,Surat,4-way,154,1,5,88,77,11,16,65
India,Hazira-Adajan Road,Surat,4-way,18,171,4,53,32,79,15,51
India,Sachin-Udhna Road,Surat,4-way,0,146,0,1150,10,76,10,105
India,Dumas-Athwa Road,Surat,4-way,71,0,1057,16,58,10,105,29
India,Kamrej-Varachha Road,Surat,4-way,84,11,80,1149,64,23,62,105
India,Kadodara-Sahara Road,Surat,4-way,76,33,14,86,60,43,27,64
India,National Highway 6 (NH6),Surat,4-way,366,28,1,125,105,41,11,73
India,National Highway 8 (NH8),Surat,4-way,146,249,694,672,76,90,105,105
India,Outer Ring Road,Surat,4-way,1,57,75,1053,11,53,60,105
India,Surat-Chennai Expressway,Surat,4-way,204,0,0,48,84,10,10,49
India,J.M. Road,Pune,4-way,874,89,96,38,105,66,68,45
India,Fergusson College Road (FC Road),Pune,4-way,29,29,487,362,42,42,105,105
India,Laxmi Road,Pune,4-way,50,161,95,21,50,78,68,35
India,Shivaji Nagar,Pune,4-way,13,17,560,579,26,30,105,105
India,Koregaon Park,Pune,4-way,15,13,576,74,28,26,105,60
India,Kothrud,Pune,4-way,1,124,1131,15,11,73,105,28
India,Viman Nagar,Pune,4-way,47,2,77,28,49,12,61,41
India,Aundh,Pune,4-way,999,12,74,754,105,24,60,105
